Serial Number:20365150 --

"Date Time, GMT -0600","Temp, (*F)","Intensity, ( lum/ft2)","Host Connect","Button Down","EOF"
2019-10-10 09:49:20,23.27,177, , , 
2019-10-10 10:49:20,24.74,295, , , 
2019-10-10 11:49:20,25.89,292, , , 
2019-10-10 12:49:20,27.75,456, , , 
2019-10-10 13:49:20,29.99,417, , , 
2019-10-10 14:49:20,28.60,394, , , 
2019-10-10 15:49:20,29.83,250, , , 
2019-10-10 16:49:20,28.13,147, , , 
2019-10-10 17:49:20,26.98,44, , , 
2019-10-10 18:49:20,24.89,0, , , 
2019-10-10 19:49:20,23.42,0, , , 
2019-10-10 20:49:20,21.18,0, , , 
2019-10-10 21:49:20,19.33,0, , , 
2019-10-10 22:49:20,19.41,0, , , 
2019-10-10 23:49:20,18.71,0, , , 
2019-10-11 00:49:20,17.71,0, , , 
2019-10-11 01:49:20,21.18,0, , , 
2019-10-11 02:49:20,20.57,0, , , 
2019-10-11 03:49:20,18.10,0, , , 
2019-10-11 04:49:20,15.86,0, , , 
2019-10-11 05:49:20,14.00,0, , , 
2019-10-11 06:49:20,12.54,0, , , 
2019-10-11 07:49:20,16.40,212, , , 
2019-10-11 08:49:20,31.45,358, , , 
2019-10-11 09:49:20,35.93,371, , , 
2019-10-11 10:49:20,37.17,178, , , 
2019-10-11 11:49:20,39.95,128, , , 
2019-10-11 12:49:20,45.20,110, , , 
2019-10-11 13:49:20,46.51,101, , , 
2019-10-11 14:49:20,49.83,109, , , 
2019-10-11 15:49:20,52.61,175, , , 
2019-10-11 16:49:20,51.45,98, , , 
2019-10-11 17:49:20,48.44,48, , , 
2019-10-11 18:49:20,38.25,0, , , 
2019-10-11 19:49:20,32.61,0, , , 
2019-10-11 20:49:20,34.54,0, , , 
2019-10-11 21:49:20,32.38,0, , , 
2019-10-11 22:49:20,31.07,0, , , 
2019-10-11 23:49:20,28.13,0, , , 
2019-10-12 00:49:20,26.82,0, , , 
2019-10-12 01:49:20,24.50,0, , , 
2019-10-12 02:49:20,23.27,0, , , 
2019-10-12 03:49:20,22.11,0, , , 
2019-10-12 04:49:20,21.26,0, , , 
2019-10-12 05:49:20,20.64,0, , , 
2019-10-12 06:49:20,19.79,0, , , 
2019-10-12 07:49:20,24.66,114, , , 
2019-10-12 08:49:20,43.96,290, , , 
2019-10-12 09:49:20,46.90,265, , , 
2019-10-12 10:49:20,46.98,159, , , 
2019-10-12 11:49:20,49.91,123, , , 
2019-10-12 12:49:20,55.08,111, , , 
2019-10-12 13:49:20,57.71,106, , , 
2019-10-12 14:49:20,61.49,114, , , 
2019-10-12 15:49:20,64.89,115, , , 
2019-10-12 16:49:20,64.04,101, , , 
2019-10-12 17:49:20,59.87,47, , , 
2019-10-12 18:49:20,50.91,0, , , 
2019-10-12 19:49:20,40.80,0, , , 
2019-10-12 20:49:20,35.62,0, , , 
2019-10-12 21:49:20,33.85,0, , , 
2019-10-12 22:49:20,30.99,0, , , 
